min, sec, tag_id, distance,times, interval,  absence
57,31,0xbbee,226,103,1,5
57,31,0xcc33,319,120,1,3
57,31,0xcc66,203,134,1,0
57,31,0xbbff,323,121,1,2

57,32,0xcc22,221,69,1,0
57,32,0xbbdd,338,72,1,1
57,32,0xcc11,304,83,1,0
57,32,0xbbee,226,104,1,5
57,32,0xcc33,327,121,1,3
57,32,0xcc66,205,135,1,0
57,32,0xbbff,318,122,1,2

57,33,0xcc22,217,70,1,0
57,33,0xbbdd,338,73,1,1
57,33,0xcc11,299,84,1,0
57,33,0xbbee,225,105,1,5
57,33,0xcc33,322,122,1,3
57,33,0xcc66,207,136,1,0
57,33,0xbbff,318,123,1,2

57,34,0xcc22,219,71,1,0
57,34,0xbbdd,337,74,1,1
57,34,0xcc11,302,85,1,0
57,34,0xbbee,221,106,1,5
57,34,0xcc33,318,123,1,3
57,34,0xcc66,206,137,1,0
57,34,0xbbff,319,124,1,2

57,35,0xcc22,218,72,1,0
57,35,0xbbdd,338,75,1,1
57,35,0xcc11,299,86,1,0
57,35,0xbbee,224,107,1,5
57,35,0xcc33,319,124,1,3
57,35,0xcc66,205,138,1,0
57,35,0xbbff,323,125,1,2

57,36,0xcc22,221,73,1,0
57,36,0xbbdd,338,76,1,1
57,36,0xcc11,302,87,1,0
57,36,0xbbee,227,108,1,5
57,36,0xcc33,321,125,1,3
57,36,0xcc66,206,139,1,0
57,36,0xbbff,321,126,1,2

57,37,0xcc22,221,74,1,0
57,37,0xbbdd,336,77,1,1
57,37,0xcc11,299,88,1,0
57,37,0xbbee,227,109,1,5
57,37,0xcc33,321,126,1,3
57,37,0xcc66,205,140,1,0
57,37,0xbbff,320,127,1,2

57,38,0xcc22,219,75,1,0
57,38,0xbbdd,340,78,1,1
57,38,0xcc11,301,89,1,0
57,38,0xbbee,225,110,1,5
57,38,0xcc33,321,127,1,3
57,38,0xcc66,206,141,1,0
57,38,0xbbff,318,128,1,2

57,39,0xcc22,219,76,1,0
57,39,0xbbdd,339,79,1,1
57,39,0xcc11,301,90,1,0
57,39,0xbbee,225,111,1,5
57,39,0xcc33,323,128,1,3
57,39,0xcc66,203,142,1,0

57,40,0xcc22,217,77,1,0
57,40,0xbbdd,336,80,1,1
57,40,0xcc11,300,91,1,0
57,40,0xbbee,224,112,1,5
57,40,0xcc33,321,129,1,3
57,40,0xcc66,204,143,1,0
